contestId,questionNumber,rank,username,language,similarity,codePath
weekly-contest-444,1,19,Aryandonnn,python3,100.0,/data/code/code_aryan.txt
weekly-contest-444,1,44,C2UvuQTsxC,python3,100.0,/data/code/code_c2u.txt
weekly-contest-444,1,8,Rik Mahapatra,python3,100.0,/data/code/code_rik.txt
weekly-contest-444,1,26,DeVaNsHu_TripAtHi,python3,99.8,/data/code/code_devanshu.txt
weekly-contest-444,1,212,Antagonist_378,python3,79.4,/data/code/code_antagonist.txt
weekly-contest-444,1,109,AMAN,python3,66.1,/data/code/code_aman.txt
